FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etab_adr,ouverture_jour,organisme,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_480d,Maritime,Lacs,Lacs 4,Fiata,98171115,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.6321669484579293,6.351031124264225,maritime,lacs,fiata,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_480e,Maritime,Lacs,Lacs 4,Ganavé,Village abatame buckner 70707512,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2019,1.6474187720116404,6.273821050514458,maritime,lacs,ganave,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_480f,Maritime,Lacs,Lacs 4,Ganavé,Abatame-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.6512645624924083,6.275195175295598,maritime,lacs,ganave,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4810,Maritime,Lacs,Lacs 4,Ganavé,Abatame-togo,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.6409701879988634,6.272079884831946,maritime,lacs,ganave,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4811,Maritime,Zio,Zio 1,Abobo,Dekpo,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",WAGES,1.3812747370689265,6.271577626011469,maritime,zio,abobo,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4812,Maritime,Yoto,Yoto 3,Tométy-Kondji,Tomety-kondji,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Etoile verte(Togo); Happy Togo (Suisse),1.5253104195410314,6.810332603350566,maritime,yoto,tomety kondji,pisciculture,yoto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4813,Maritime,Zio,Zio 2,Kovié,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.1073336994103031,6.3564786236990924,maritime,zio,kovie,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4814,Maritime,Zio,Zio 2,Kovié,Kovié,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Nsp,1.1163934034126541,6.34447372321565,maritime,zio,kovie,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4815,Maritime,Zio,Zio 2,Wli,Odjorene2020@gmail.com,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Privé,1.1131013822008347,6.366732276530671,maritime,zio,wli,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4816,Maritime,Zio,Zio 2,Wli,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Privé,1.115134343916416,6.368179247877461,maritime,zio,wli,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4817,Maritime,Zio,Zio 2,Wli,Néant,"{Mardi,Mercredi,Lundi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.1121731447601375,6.412680993920263,maritime,zio,wli,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4818,Maritime,Zio,Zio 3,Gamé-Sèva,Boga,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.2141561699881454,6.662426235383927,maritime,zio,game seva,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4819,Maritime,Zio,Zio 3,Gamé-Sèva,Game-togo,"{Dimanche,Samedi,Vendredi,Jeudi,Lundi,Mardi,Mercredi}",Privé,1.1805091076406484,6.716967775252088,maritime,zio,game seva,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481a,Maritime,Yoto,Yoto 3,Tokpli,Koudeka kondji,"{Lundi,Mardi,Mercredi,Jeudi,Dimanche,Samedi,Vendredi}",Nsp,1.5992467877027794,6.657200024197061,maritime,yoto,tokpli,pisciculture,yoto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481b,Maritime,Zio,Zio 3,Agbélouvé,Gapekpodi-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.1773779281541121,6.65040314530667,maritime,zio,agbelouve,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481c,Maritime,Zio,Zio 3,Agbélouvé,Begbe- togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.224507569074796,6.619291396202123,maritime,zio,agbelouve,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481d,Maritime,Zio,Zio 3,Agbélouvé,Begbe_togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Dimanche,Samedi}",Privé,1.2060935278496274,6.609877007128817,maritime,zio,agbelouve,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481e,Maritime,Zio,Zio 3,Agbélouvé,Atiho,"{Lundi,Mardi,Jeudi,Vendredi,Mercredi,Samedi,Dimanche}",Ferme GABIAM,1.1408512727636937,6.6717593167297595,maritime,zio,agbelouve,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_481f,Maritime,Zio,Zio 4,Gapé-Centre,Didokpo_togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.2374504004488196,6.594330700166552,maritime,zio,gape centre,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4820,Maritime,Zio,Zio 4,Gapé-Centre,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.19279065472794,6.573643784740783,maritime,zio,gape centre,pisciculture,zio
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4821,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Nsp,"{Lundi,Jeudi,Dimanche}",Nsp,0.7685453046199942,6.989718470928723,plateaux,agou,agou nyogbo agbetiko,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4822,Plateaux,Agou,Agou 1,Agou-Akplolo,Néant,"{Samedi,Mercredi,Lundi}",Nsp,0.7830184623612589,6.899105894865914,plateaux,agou,agou akplolo,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4823,Plateaux,Agou,Agou 1,Agou-Atigbé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.7582364038417142,6.773752630674137,plateaux,agou,agou atigbe,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4824,Plateaux,Agou,Agou 1,Gadja,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.8601792135113008,6.777253993131612,plateaux,agou,gadja,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4825,Plateaux,Agou,Agou 1,Gadja,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,0.7861180238278846,6.771210143558277,plateaux,agou,gadja,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4826,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),Winiga/ 97058447,"{Dimanche,Samedi,Jeudi,Vendredi,Mercredi,Mardi,Lundi}",ICAT Agou,0.7741287121778269,6.570548427136315,plateaux,agou,agotime sud (adzakpa),pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4827,Plateaux,Amou,Amou 2,Amou-Oblo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,0.8655879006401603,7.394696822311662,plateaux,amou,amou oblo,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4828,Plateaux,Amou,Amou 2,Amou-Oblo,Amou oblo uvetsebe,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Néant,0.8442477857701061,7.363114967137632,plateaux,amou,amou oblo,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4829,Plateaux,Amou,Amou 3,Otadi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.9926786097215213,7.677415705018011,plateaux,amou,otadi,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482a,Plateaux,Amou,Amou 3,Otadi,Okama/otadi,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.0862169628249905,7.639142707430037,plateaux,amou,otadi,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482b,Plateaux,Amou,Amou 3,Hihéatro,Degbebe,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",CVD,1.079494433052,7.6285164322091035,plateaux,amou,hiheatro,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482c,Plateaux,Amou,Amou 3,Avédjè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.1355319002269268,7.496895440661589,plateaux,amou,avedje,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482d,Plateaux,Amou,Amou 3,Avédjè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",ONG ODIAE,1.1327859506180114,7.497123823043838,plateaux,amou,avedje,pisciculture,amou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482e,Plateaux,Anié,Anié 1,Anié,Néant,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,1.1468693434158237,7.724360144104193,plateaux,anie,anie,pisciculture,anie
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_482f,Plateaux,Danyi,Danyi 1,Danyi-Atigba,98457641/70014858,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.6796309574543571,7.1682438794871794,plateaux,danyi,danyi atigba,pisciculture,danyi
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4830,Plateaux,Danyi,Danyi 1,Danyi-Atigba,90090937,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",MINISTÈRE DE L'AGRICULTURE,0.7078090624442082,7.217339794880564,plateaux,danyi,danyi atigba,pisciculture,danyi
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4831,Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,91219731,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Personnel,0.7175261023005328,7.307020698253292,plateaux,danyi,danyi elavagnon,pisciculture,danyi
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4832,Plateaux,Danyi,Danyi 2,Ahlon,99939536,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.6619433984562197,7.275871233473789,plateaux,danyi,ahlon,pisciculture,danyi
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4833,Plateaux,Danyi,Danyi 2,Ahlon,99407104,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",AHLON SASSANOU,0.6593463907817592,7.276752382379547,plateaux,danyi,ahlon,pisciculture,danyi
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4834,Plateaux,Est-Mono,Est-Mono 3,Kpéssi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.2770857243505878,8.069716884853461,plateaux,est mono,kpessi,pisciculture,est mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4835,Plateaux,Kloto,Kloto 3,Kouma,91838040,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Régional,0.5751532254657511,6.962988561643963,plateaux,kloto,kouma,pisciculture,kloto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4836,Plateaux,Kloto,Kloto 3,Kouma,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.5787571533770082,6.967422259583842,plateaux,kloto,kouma,pisciculture,kloto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4837,Plateaux,Kloto,Kloto 3,Kouma,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.5776144730443384,6.969788919222853,plateaux,kloto,kouma,pisciculture,kloto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4838,Plateaux,Kloto,Kloto 2,Kpimé,Seva,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.6520353049781192,7.001668385069809,plateaux,kloto,kpime,pisciculture,kloto
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4839,Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.8008233700703955,7.275352718531303,plateaux,kpele,kpele nord,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483a,Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,0.7972733813770773,7.280569103659022,plateaux,kpele,kpele nord,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483b,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Djogbepime,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,0.7902349987641223,7.225658933098302,plateaux,kpele,kpele kame,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483c,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,Aveho,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,0.785496252034073,7.226643319736509,plateaux,kpele,kpele kame,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483d,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,Dzanipé,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,0.7549386867204813,7.19925187479287,plateaux,kpele,kpele gbaledze,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483e,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun -danfolito,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Les soeurs de Nazareth de tohoun,1.5963761244999355,7.045120569267002,plateaux,moyen mono,tohoun,pisciculture,moyen mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_483f,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun-danfoli,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",PASA,1.596750779097589,7.045889314720011,plateaux,moyen mono,tohoun,pisciculture,moyen mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4840,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun/orphelinat,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Orphelinat,1.566437521913168,7.029962023147665,plateaux,moyen mono,tohoun,pisciculture,moyen mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4841,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun-danfolito,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",LES SOEURS DE NAZARETH DE TOHOUN,1.59653808576481,7.046197838196286,plateaux,moyen mono,tohoun,pisciculture,moyen mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4842,Plateaux,Ogou,Ogou 1,Houdou,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.1549850279693925,7.725996701456151,plateaux,ogou,houdou,pisciculture,ogou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4843,Plateaux,Ogou,Ogou 2,Katoré,Fin digue,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.4196003998177116,7.410803392006867,plateaux,ogou,katore,pisciculture,ogou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4844,Centrale,Blitta,Blitta 1,Blitta,Sondoukope,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",MAWI SARL,0.9667555998244141,8.32174178288852,centrale,blitta,blitta,pisciculture,blitta
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4845,Centrale,Blitta,Blitta 1,Doufouli,Akarabou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",PNUD,0.9390696964608338,8.306419463379187,centrale,blitta,doufouli,pisciculture,blitta
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4846,Centrale,Tchamba,Tchamba 1,Tchamba,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.4931406218651282,9.036213299772253,centrale,tchamba,tchamba,pisciculture,tchamba
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4847,Centrale,Tchamba,Tchamba 3,Kaboli,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.6177664075231823,8.714380726000458,centrale,tchamba,kaboli,pisciculture,tchamba
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4848,Centrale,Tchamba,Tchamba 3,Kaboli,93014751,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Coopérative ABOLIYA,1.567941161637274,8.730936798332857,centrale,tchamba,kaboli,pisciculture,tchamba
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4849,Centrale,Tchamba,Tchamba 3,Kaboli,92229788,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,1.575325807193157,8.746966083258691,centrale,tchamba,kaboli,pisciculture,tchamba
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484a,Centrale,Tchaoudjo,Tchaoudjo 1,Kadambara,Kadambara/alphani,"{Samedi,Dimanche,Jeudi,Mercredi,Mardi,Lundi}",GESCOD,1.1763783939555041,8.951128141613758,centrale,tchaoudjo,kadambara,pisciculture,tchaoudjo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484b,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.3219818045079008,9.108321352731656,centrale,tchaoudjo,agouloude,pisciculture,tchaoudjo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484c,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.322741865858013,9.121598117371459,centrale,tchaoudjo,agouloude,pisciculture,tchaoudjo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484d,Kara,Assoli,Assoli 3,Soudou,Gande près de la rivière woulanda,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.3229469213232459,9.356257568543425,kara,assoli,soudou,pisciculture,assoli
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484e,Kara,Doufelgou,Doufelgou 1,Baga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.0915419092032113,9.790402280942589,kara,doufelgou,baga,pisciculture,doufelgou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_484f,Kara,Doufelgou,Doufelgou 1,Baga,Balle,"{Dimanche,Vendredi,Jeudi,Mercredi,Mardi}",CIDAP,1.117013563218391,9.790054942528736,kara,doufelgou,baga,pisciculture,doufelgou
